,spp,Subfamily,Tribe,long_aquenio,anch_aquenio,area_aquenio,pappus_type,nr_cerdas,long_cerda_max,dispersion,area,vol,PL,log_PL,loglog_PL,sqrt_PL
Moquinia-racemosa,Moquinia_racemosa,Cichorioideae,Moquineae,1.199,0.565,0.631,Setose,18,4.044,viento,51.3774051948776,0.150305877861975,0.002925524887824,-5.83428136556868,-0.481083367647833,0.054088121503929
Erato-polymnoides,Erato_polymnoides,Cichorioideae,Liabeae,1.47,0.572,0.324,Setose,30,5.004,viento,78.6655303113709,0.188872738829378,0.002400959325408,-6.0318869025744,-0.381810660124354,0.048999584951389
Didelta-spinosa,Didelta_spinosa,Cichorioideae,Arctotideae,3.516,2.057,5.21,Coroniform,17,1.348,ambiguo,5.70860057720863,5.84221231013307,1.02340532128265,0.023135616987076,1.01328126478278,1.01163497432753
Gazania-krebsiana,Gazania_krebsiana,Cichorioideae,Arctotideae,2.098,0.621,0.997,Setose,20,1.27,viento,5.06707479097498,0.317722938054162,0.06270342256438,-2.7693392464793,-0.706557298109946,0.250406514620486
Arctotis-semipapposa,Arctotis_semipapposa,Cichorioideae,Arctotideae,3.14,1.821,4.893,Coroniform,7,0.268,ambiguo,0.225641750751433,4.0889276425065,18.1213176052649,2.89708901349353,-0.945914035917459,4.25691409418429
Haplocarpha-nervosa,Haplocarpha_nervosa,Cichorioideae,Arctotideae,3.201,1.935,5.006,Coroniform,2,0.5,ambiguo,0.785398163397448,4.70660225507407,5.99263134949448,1.79053060606732,-6.4122304110189,2.44798516120798
Platycarpha-glomerata,Platycarpha_glomerata,Cichorioideae,Platycarpheae,3.749,1.293,4.201,Paleaceous,9,4.629,ambiguo,67.3169195493594,2.46134434282895,0.036563531956744,-3.3087039299304,0.2139747225138,0.1912159301856
Eremothamnus-marlothianus,Eremothamnus_marlothianus,Cichorioideae,Eremothamneae,4,1.286,4.043,Setose,38,5.888,viento,108.914443141054,2.59777668206809,0.023851535248806,-3.73590669270039,0.203526960032718,0.154439422586353
Jurinea-alata,Jurinea_alata,Carduoideae,Cardueae,3.088,1.453,3.746,Setose,27,8.448,viento,224.211396182624,2.56016765225276,0.011418543814899,-4.47251659471483,0.173682628852389,0.106857586604315
Carthamus-tinctorius,Carthamus_tinctorius,Carduoideae,Cardueae,6.2,4.218,19.995,Setose,14,6.54,ambiguo,134.370944342281,43.317633848289,0.322373516299099,-1.13204441719805,0.768999011765084,0.567779460969749
Carthamus-lanatus,Carthamus_lanatus,Carduoideae,Cardueae,4.771,2.95,12.301,Paleaceous,31,8.135,ambiguo,207.905025487612,16.3047195917231,0.078423883913533,-2.5456267562654,0.523030176814486,0.280042646597859
Centaurea-benedicta,Centaurea_benedicta,Carduoideae,Cardueae,7.621,2.155,15.457,Setose,20,7.975,mirmecocoria,199.807256263719,13.8984508733436,0.069559289919098,-2.66557579772673,0.49680987744353,0.263740952298081
Silybum-marianum,Silybum_marianum,Carduoideae,Cardueae,7.321,3.338,17.935,Setose,57,17.537,viento,966.185413488616,32.0333941328249,0.033154499832332,-3.40657683001385,0.504379381589033,0.18208377146888
Cynara-cardunculus,Cynara_cardunculus,Carduoideae,Cardueae,5.72,2.77,12.068,Setose,35,24.487,viento,1883.74032672609,17.2351652842863,0.009149437976584,-4.6940628249053,0.377529011062752,0.095652694559978
